chr,start,end,gene,transcript,strand,Ensembl_ID,lnTPM
chr11,119019749,119033374,ABCG4,NM_022169,+,ENSG00000172350,0.02955880224154443
chr11,34172533,34379555,ABTB2,NM_145804,-,ENSG00000166016,0.712949807856125
chr11,134123433,134135746,ACAD8,NM_014384,+,ENSG00000151498,1.925707441737794
chr11,107992257,108018891,ACAT1,NM_000019,+,ENSG00000075239,3.474447843401748
chr11,44087728,44105569,ACCS,NM_001127219,+,ENSG00000110455,1.8976198599275322
chr11,44069530,44081527,ACCSL,NM_001031854,+,ENSG00000205126,0.009950330853168092
chr11,76571916,76734850,ACER3,NM_018367,+,ENSG00000078124,0.7178397931503168
chr11,47260852,47270457,ACP2,NM_001610,-,ENSG00000134575,2.6397713603489157
chr11,125542228,125550793,ACRV1,NM_020069,-,ENSG00000134940,0.058268908123975824
chr11,66313865,66330799,ACTN3,NM_001258371,+,ENSG00000248746,0.009950330853168092
chr11,67410025,67418130,ACY3,NM_080658,-,ENSG00000132744,0.009950330853168092
chr11,130318868,130346539,ADAMTS15,NM_139055,+,ENSG00000166106,0.22314355131420976
chr11,130274817,130298539,ADAMTS8,NM_007037,-,ENSG00000134917,0.058268908123975824
chr11,10326641,10328923,ADM,NM_001124,+,ENSG00000148926,1.0260415958332743
chr11,67033904,67054029,ADRBK1,NM_001619,+,ENSG00000173020,2.0320878452963655
chr11,47681142,47736928,AGBL2,NM_024783,-,ENSG00000165923,0.7747271675523681
chr11,62201015,62314332,AHNAK,NM_024060,-,ENSG00000124942,2.3813962734183356
chr11,67250504,67258579,AIP,NM_003977,+,ENSG00000110711,2.529720665577793
chr11,8932700,8941626,AKIP1,NM_001206648,+,ENSG00000166452,2.0294631718735947
chr11,67776047,67796743,ALDH3B1,NM_001161473,+,ENSG00000006534,0.1906203596086497
chr11,67429632,67448685,ALDH3B2,NM_001031615,-,ENSG00000132746,0.0
chr11,77811987,77850699,ALG8,NM_024079,-,ENSG00000159063,2.495681722955959
chr11,111652918,111742305,ALG9,NM_001077690,-,ENSG00000086848,2.128231705849268
chr11,43902356,43941825,ALKBH3,NM_139178,+,ENSG00000166199,2.265921108622454
chr11,107373452,107436461,ALKBH8,NM_138775,-,ENSG00000137760,0.7884573603642703
chr11,44282277,44331716,ALX4,NM_021926,-,ENSG00000052850,0.01980262729617973
chr11,46417961,46615619,AMBRA1,NM_001267782,-,ENSG00000110497,2.263844264677615
chr11,118064441,118095809,AMICA1,NM_001098526,-,ENSG00000160593,0.4054651081081644
chr11,94501507,94609918,AMOTL1,NM_130847,+,ENSG00000166025,1.6134299337036377
chr11,10471867,10529126,AMPD3,NM_001172431,+,ENSG00000133805,1.4586150226995167
chr11,71820632,71823822,ANAPC15,NM_014042,-,ENSG00000110200,2.2460147415056513
chr11,101761404,101787253,ANGPTL5,NM_178127,-,N/A,-inf
chr11,113258512,113271140,ANKK1,NM_178510,+,ENSG00000170209,0.01980262729617973
chr11,67056761,67069955,ANKRD13D,NM_207354,+,ENSG00000172932,1.8931119634883424
chr11,82905290,82960013,ANKRD42,NM_182603,+,ENSG00000137494,1.597365331199831
chr11,94227152,94232744,ANKRD49,NM_017704,+,ENSG00000168876,1.7334238922150915
chr11,69924407,70035652,ANO1,NM_018043,+,ENSG00000131620,0.30010459245033816
chr11,26353677,26684836,ANO3,NM_031418,+,ENSG00000134343,0.03922071315328133
chr11,22214721,22304913,ANO5,NM_001142649,+,ENSG00000171714,0.8960880245566357
chr11,417929,442011,ANO9,NM_001012302,-,ENSG00000185101,0.0
chr11,925808,1012245,AP2A2,NM_001242837,+,ENSG00000183020,1.3812818192963463
chr11,65541368,65548062,AP5B1,NM_138368,-,N/A,-inf
chr11,6416354,6440644,APBB1,NM_145689,-,ENSG00000166313,2.179286876649552
chr11,43333504,43366080,API5,NR_024625,+,ENSG00000166181,2.2375130962503307
chr11,34903842,34937939,APIP,NM_015957,-,ENSG00000149089,2.418588768750352
chr11,57001051,57004927,APLNR,NM_005161,-,ENSG00000134817,0.8109302162163288
chr11,129939715,130014706,APLP2,NM_001642,+,ENSG00000084234,3.6948615257914836
chr11,116706468,116708338,APOA1,NM_000039,-,ENSG00000118137,4.831269365127934
chr11,116691417,116694011,APOA4,NM_000482,-,ENSG00000110244,0.17395330712343798
chr11,116660085,116663136,APOA5,NM_001166598,-,ENSG00000110243,0.01980262729617973
chr11,116700623,116703787,APOC3,NM_000040,+,ENSG00000110245,0.03922071315328133
chr11,77300679,77321401,AQP11,NM_173039,+,ENSG00000178301,2.4087452888224363
chr11,72396113,72463434,ARAP1,NM_001040118,-,ENSG00000186635,2.5771819258971713
chr11,118443101,118473747,ARCN1,NM_001655,+,ENSG00000095139,3.070839746040796
chr11,47185848,47198676,ARFGAP2,NM_032389,-,ENSG00000149182,3.2511493854184965
chr11,6495912,6502709,ARFIP2,NM_001242856,-,ENSG00000132254,2.3804716316511167
chr11,46698631,46722120,ARHGAP1,NM_004308,-,ENSG00000175220,1.5151272329628591
chr11,110447758,110583912,ARHGAP20,NM_001258416,-,ENSG00000137727,1.0818051703517284
chr11,128834954,129062093,ARHGAP32,NM_001142685,-,ENSG00000134909,1.501852701754163
chr11,100558406,100861656,ARHGAP42,NM_152432,+,ENSG00000165895,1.4929040961781488
chr11,120207617,120360645,ARHGEF12,NM_001198665,+,ENSG00000196914,2.7013612129514133
chr11,73019662,73080425,ARHGEF17,NM_014786,+,ENSG00000110237,0.8919980393051105
chr11,30344648,30359165,ARL14EP,NM_152316,+,ENSG00000152219,2.0980179272527715
chr11,64781584,64789657,ARL2,NM_001199745,+,ENSG00000213465,3.0392705755684744
chr11,13299324,13408812,ARNTL,NM_001178,+,ENSG00000133794,2.0425181875752383
chr11,74971165,75062875,ARRB1,NM_020251,-,ENSG00000137486,2.4292177439274116
chr11,3666360,3685646,ART1,NM_004314,+,ENSG00000129744,0.0
chr11,3659735,3663546,ART5,NM_001079536,-,ENSG00000167311,0.1310282624064042
chr11,2289727,2292182,ASCL2,NM_005170,-,ENSG00000183734,0.01980262729617973
chr11,8959118,8964580,ASCL3,NM_020646,-,ENSG00000176009,0.04879016416943205
chr11,62104773,62160887,ASRGL1,NM_025080,+,ENSG00000162174,0.5187937934151676
chr11,46638825,46697568,ATG13,NM_014741,+,ENSG00000175224,2.1210632163706555
chr11,72525450,72540680,ATG16L2,NM_033388,+,ENSG00000168010,1.5665304114228238
chr11,64662003,64684722,ATG2A,NM_015104,-,ENSG00000110046,0.8671004876833833
chr11,289137,295688,ATHL1,NM_025092,+,ENSG00000142102,0.27763173659827955
chr11,63396436,63439083,ATL3,NM_015459,-,ENSG00000184743,1.8293763327993617
chr11,108093558,108239826,ATM,NM_000051,+,ENSG00000149311,3.028683373693677
chr11,118272103,118280562,ATP5L,NM_006476,+,ENSG00000167283,4.32055008757213
chr11,134248397,134281812,B3GAT1,NM_018644,-,ENSG00000109956,0.11332868530700327
chr11,62382767,62389647,B3GAT3,NM_012200,-,ENSG00000149541,2.0320878452963655
chr11,66112842,66115161,B3GNT1,NM_006876,-,ENSG00000174684,2.0856720914304723
chr11,76745434,76753005,B3GNT6,NM_138706,+,ENSG00000198488,0.0
chr11,369794,382117,B4GALNT4,NM_178537,+,ENSG00000182272,0.5988365010887039
chr11,117156401,117186972,BACE1,NM_138973,-,ENSG00000186318,2.379546134130174
chr11,64037299,64052176,BAD,NM_004322,-,ENSG00000002330,2.7285062096695922
chr11,65769549,65771617,BANF1,NM_003860,+,ENSG00000175334,2.5974910105351463
chr11,129245880,129322174,BARX2,NM_003658,+,ENSG00000043039,0.0
chr11,64755416,64764517,BATF2,NM_138456,-,ENSG00000168062,0.10436001532424286
chr11,27062508,27149354,BBOX1,NM_003986,+,ENSG00000129151,0.36464311358790924
chr11,66278118,66301084,BBS1,NM_024649,+,ENSG00000174483,2.316487998163037
chr11,118766850,118781613,BCL9L,NM_182557,-,ENSG00000186174,0.8064758658669485
chr11,112046207,112089649,BCO2,NM_001256398,+,ENSG00000197580,2.253394848803274
chr11,27676441,27743605,BDNF,NM_170731,-,ENSG00000176697,0.20701416938432612
chr11,61717355,61731066,BEST1,NM_001139443,+,ENSG00000167995,0.25464221837358075
chr11,202923,207422,BET1L,NM_001098787,-,ENSG00000177951,1.3962446919730587
chr11,102217912,102249401,BIRC2,NM_001256166,+,ENSG00000110330,3.0699116717282426
chr11,102188180,102210135,BIRC3,NM_001165,+,ENSG00000023445,0.09531017980432493
chr11,121986061,121986923,BLID,NM_001001786,-,N/A,-inf
chr11,66104803,66112582,BRMS1,NM_015399,-,ENSG00000174744,2.2502386126218363
chr11,1411128,1483919,BRSK2,NM_003957,+,ENSG00000174672,0.17395330712343798
chr11,62457733,62477091,BSCL2,NR_037949,-,ENSG00000168000,3.4190372997904865
chr11,122848356,122852379,BSX,NM_001098169,-,ENSG00000188909,0.0
chr11,13409555,13484838,BTBD10,NM_032320,-,ENSG00000148925,1.9544450515051506
chr11,57510985,57519253,BTBD18,NM_001145101,-,ENSG00000233436,0.19885085874516517
chr11,111338255,111383079,BTG4,NM_017589,-,ENSG00000137707,0.0
chr11,116618885,116643714,BUD13,NM_001159736,-,ENSG00000137656,1.5303947050936475
chr11,111749947,111754797,C11orf1,NM_022761,+,ENSG00000137720,1.9358598132018119
chr11,61556601,61560085,C11orf10,NM_014206,-,N/A,-inf
chr11,8941622,8954553,C11orf16,NM_020643,-,ENSG00000176029,0.058268908123975824
chr11,64863682,64879180,C11orf2,NM_013265,+,N/A,-inf
chr11,64067862,64072239,C11orf20,NM_001039496,+,N/A,-inf
chr11,2317506,2323143,C11orf21,NR_024621,-,N/A,-inf
chr11,68028802,68039469,C11orf24,NM_022338,-,ENSG00000171067,0.9745596399981308
chr11,76156068,76262589,C11orf30,NM_020193,+,ENSG00000158636,1.6351056591826783
chr11,57508721,57510883,C11orf31,NM_170746,+,ENSG00000211450,3.526654599019104
chr11,112118875,112131583,C11orf34,NM_001145024,-,N/A,-inf
chr11,554849,560779,C11orf35,NM_173573,-,ENSG00000185522,0.19885085874516517
chr11,4592652,4599050,C11orf40,NM_144663,-,N/A,-inf
chr11,33563876,33695646,C11orf41,NM_012194,+,N/A,-inf
chr11,6226797,6232365,C11orf42,NM_173525,+,ENSG00000180878,0.12221763272424911
chr11,128769459,128776126,C11orf45,NR_045767,-,N/A,-inf
chr11,62430288,62439241,C11orf48,NM_024099,-,N/A,-inf
chr11,46958250,47183798,C11orf49,NM_024113,+,ENSG00000149179,1.763017000362401
chr11,111789600,111797595,C11orf52,NM_080659,+,N/A,-inf
chr11,111126706,111156972,C11orf53,NM_198498,+,ENSG00000150750,0.0
chr11,93474792,93496247,C11orf54,NM_014039,+,ENSG00000182919,2.4397349311412793
chr11,111944967,111955874,C11orf57,NM_001082969,+,ENSG00000150776,2.0681277817795625
chr11,16760147,16779901,C11orf58,NM_014267,+,ENSG00000110696,3.7059823620135983
chr11,122753472,122776583,C11orf63,NM_199124,+,ENSG00000109944,0.19885085874516517
chr11,108253726,108338258,C11orf65,NM_152587,-,ENSG00000166323,0.5538851132264376
chr11,77532207,77583398,C11orf67,NM_024684,+,N/A,-inf
chr11,65684282,65686531,C11orf68,NM_031450,-,ENSG00000175573,1.2556160374777743
chr11,101918168,101946842,C11orf70,NM_001195005,+,ENSG00000137691,0.6097655716208942
chr11,114262169,114271139,C11orf71,NM_019021,-,ENSG00000180425,1.220829921392359
chr11,86013252,86056985,C11orf73,NM_016401,+,ENSG00000149196,2.2617630984737906
chr11,36616092,36680817,C11orf74,NM_138787,+,ENSG00000166352,2.0992441689760155
chr11,93211638,93276546,C11orf75,NM_020179,-,N/A,-inf
chr11,66512206,66610987,C11orf80,NM_024650,+,ENSG00000173715,1.3056264580524357
chr11,82612736,82645699,C11orf82,NM_145018,+,ENSG00000165490,0.4054651081081644
chr11,62439125,62441162,C11orf83,NM_001085372,+,ENSG00000204922,1.410986973710262
chr11,63580922,63595190,C11orf84,NM_138471,+,ENSG00000168005,1.4678743481123135
chr11,64705928,64727609,C11orf85,NM_001037225,-,ENSG00000168070,0.0
chr11,66742753,66744479,C11orf86,NM_001136485,+,ENSG00000173237,0.1570037488096647
chr11,109292845,109299893,C11orf87,NM_207645,+,ENSG00000185742,0.02955880224154443
chr11,111385509,111407756,C11orf88,NM_001100388,+,ENSG00000183644,0.0
chr11,61520120,61555989,C11orf9,NM_001127392,+,N/A,-inf
chr11,33719653,33722286,C11orf91,NM_001166692,-,ENSG00000205177,0.03922071315328133
chr11,111169975,111179353,C11orf93,NM_001136105,+,N/A,-inf
chr11,45928085,45928833,C11orf94,NM_001080446,-,ENSG00000234776,0.2151113796169455
chr11,63527363,63536113,C11orf95,NM_001144936,-,ENSG00000188070,1.1249295969854831
chr11,43964105,43965433,C11orf96,NM_001145033,+,ENSG00000187479,1.8293763327993617
chr11,47611215,47615961,C1QTNF4,NM_031909,-,ENSG00000172247,0.46373401623214006
chr11,119209651,119217383,C1QTNF5,NM_015645,-,N/A,-inf
chr11,118978092,118987827,C2CD2L,NM_014807,+,ENSG00000172375,0.6151856390902335
chr11,73745479,73882064,C2CD3,NM_015531,-,ENSG00000168014,1.425515074273172
chr11,67286417,67290899,CABP2,NM_016366,-,ENSG00000167791,0.0
chr11,67222817,67229245,CABP4,NM_145200,+,ENSG00000175544,0.04879016416943205
chr11,115044344,115375241,CADM1,NM_001098517,-,ENSG00000182985,3.856087373097843
chr11,14990047,14993832,CALCA,NM_001741,-,ENSG00000110680,0.02955880224154443
chr11,15095145,15100177,CALCB,NM_000728,+,ENSG00000175868,0.01980262729617973
chr11,64948685,64979477,CAPN1,NM_001198868,+,ENSG00000014216,1.5912739418064292
chr11,76777991,76837198,CAPN5,NM_004055,+,ENSG00000149260,0.7080357930536961
chr11,34073229,34124157,CAPRIN1,NM_005898,+,ENSG00000135387,3.4226326623822203
chr11,104912052,104916051,CARD16,NM_052889,-,N/A,-inf
chr11,104963195,104972158,CARD17,NM_001007232,-,N/A,-inf
chr11,105008447,105010461,CARD18,NM_021571,-,N/A,-inf
chr11,67183148,67193078,CARNS1,NM_001166222,+,ENSG00000172508,0.09531017980432493
chr11,3022151,3078681,CARS,NM_139273,-,ENSG00000110619,1.4036429994545037
chr11,104896236,104905884,CASP1,NM_001257119,-,ENSG00000137752,0.7514160886839212
chr11,104813593,104839325,CASP4,NM_001225,-,N/A,-inf
chr11,104864966,104893895,CASP5,NR_024239,-,ENSG00000137757,0.009950330853168092
chr11,34460471,34493607,CAT,NM_001752,+,ENSG00000121691,3.170945291110651
chr11,65784222,65793988,CATSPER1,NM_053054,-,ENSG00000175294,0.04879016416943205
chr11,119076985,119178859,CBL,NM_005188,+,ENSG00000110395,0.688134638736401
chr11,124824016,124911385,CCDC15,NM_025004,+,ENSG00000149548,0.5766133643039938
chr11,119060962,119066584,CCDC153,NM_001145018,-,ENSG00000248712,0.16551443847757333
chr11,27370418,27384795,CCDC34,NM_080654,-,ENSG00000109881,1.1537315878891892
chr11,93063882,93171636,CCDC67,NM_181645,+,ENSG00000165325,0.19885085874516517
chr11,32623625,32816187,CCDC73,NM_001008391,-,ENSG00000186714,0.22314355131420976
chr11,86085777,86134151,CCDC81,NM_001156474,+,ENSG00000149201,0.3576744442718159
chr11,96085928,96123083,CCDC82,NM_024725,-,ENSG00000149231,1.7833912195575383
chr11,85566143,85631051,CCDC83,NM_173556,+,ENSG00000150676,0.009950330853168092
chr11,118868851,118886455,CCDC84,NM_198489,+,ENSG00000186166,2.373043556642607
chr11,65657874,65659106,CCDC85B,NM_006848,+,ENSG00000175602,1.3297240096314962
chr11,60609428,60618561,CCDC86,NM_024098,+,ENSG00000110104,1.7404661748405046
chr11,66357639,66360554,CCDC87,NM_018219,-,ENSG00000182791,0.13976194237515863
chr11,64107689,64125006,CCDC88B,NM_032251,+,ENSG00000168071,1.2029723039923526
chr11,85394892,85397320,CCDC89,NM_152723,-,ENSG00000179071,0.30010459245033816
chr11,82972501,82997377,CCDC90B,NM_021825,-,ENSG00000137500,3.1557230098629323
chr11,6280903,6293357,CCKBR,NM_176875,+,ENSG00000110148,0.12221763272424911
chr11,69455872,69469242,CCND1,NM_053056,+,ENSG00000110092,2.4458192610799534
chr11,66360689,66373490,CCS,NM_005125,+,ENSG00000173992,2.7713379403381286
chr11,832951,838835,CD151,NM_001039490,+,ENSG00000177697,3.7032753343976688
chr11,66081957,66084515,CD248,NM_020404,-,ENSG00000174807,0.5187937934151676
chr11,118209788,118213459,CD3D,NM_001040651,-,ENSG00000167286,0.06765864847381486
chr11,118175294,118186890,CD3E,NM_000733,+,ENSG00000198851,0.0
chr11,118215058,118224497,CD3G,NM_000073,+,ENSG00000160654,0.01980262729617973
chr11,35160416,35253949,CD44,NM_001001390,+,ENSG00000026508,1.0715836162801904
chr11,60869929,60895323,CD5,NM_014207,+,ENSG00000110448,0.009950330853168092
chr11,33724555,33758025,CD59,NM_203330,-,ENSG00000085063,4.4569021693189885
chr11,60739112,60787848,CD6,NM_006725,+,ENSG00000013725,0.03922071315328133
chr11,2398546,2418649,CD81,NM_004356,+,ENSG00000110651,2.143589361503588
chr11,44587140,44641315,CD82,NM_002231,+,ENSG00000085117,0.3364722366212129
chr11,64591661,64612041,CDC42BPG,NM_017525,-,ENSG00000171219,0.47623417899637155
chr11,65082288,65089900,CDC42EP2,NM_006779,+,ENSG00000149798,0.412109650826833
chr11,64844926,64851615,CDCA5,NM_080668,-,ENSG00000146670,1.085189268335969
chr11,616564,625067,CDHR5,NM_021924,-,ENSG00000099834,0.1310282624064042
chr11,67273967,67276102,CDK2AP2,NM_005851,-,ENSG00000167797,1.9726911717329554
chr11,2904447,2906995,CDKN1C,NM_001122631,-,ENSG00000129757,4.6926314617580855
chr11,125826712,125933187,CDON,NM_016952,-,ENSG00000064309,0.9001613499442714
chr11,47487488,47574792,CELF1,NM_006560,-,ENSG00000149187,2.9036169846461855
chr11,787109,790126,CEND1,NM_016564,-,ENSG00000184524,0.11332868530700327
chr11,117198570,117283982,CEP164,NM_014956,+,ENSG00000110274,2.528125768907977
chr11,95523624,95565857,CEP57,NM_001243777,+,ENSG00000166037,2.4832385926873033
chr11,65622284,65625804,CFL1,NM_005507,-,ENSG00000172757,4.563827222453709
chr11,73583712,73587890,CHCHD8,NM_016565,-,N/A,-inf
chr11,125495030,125527042,CHEK1,NR_045204,+,ENSG00000149554,1.264126727145683
chr11,867858,915058,CHID1,NM_001142675,-,ENSG00000177830,2.252343876557299
chr11,67820325,67888858,CHKA,NM_212469,-,ENSG00000110721,2.5733752977756086
chr11,89933596,89956532,CHORDC1,NM_012124,-,ENSG00000110172,2.3350522831315472
chr11,74407473,74442186,CHRDL2,NM_015424,-,ENSG00000054938,0.11332868530700327
chr11,62676150,62689012,CHRM1,NM_000738,-,ENSG00000168539,0.04879016416943205
chr11,46406639,46408107,CHRM4,NM_000741,-,ENSG00000180720,0.0769610411361284
chr11,3686816,3692614,CHRNA10,NM_020402,-,ENSG00000129749,0.2151113796169455
chr11,45669238,45687206,CHST1,NM_003654,-,ENSG00000175264,0.30748469974796055
chr11,46765083,46867859,CKAP5,NM_014756,-,ENSG00000175216,3.212455257065278
chr11,67131638,67141648,CLCF1,NM_001166212,-,ENSG00000175505,0.04879016416943205
chr11,113650517,113651207,CLDN25,NM_001101389,+,N/A,-inf
chr11,122943032,123066007,CLMP,NM_024769,-,ENSG00000166250,0.5988365010887039
chr11,77327195,77348851,CLNS1A,NM_001293,-,ENSG00000074201,3.8661884690843467
chr11,57425215,57429337,CLP1,NM_001142597,+,ENSG00000172409,1.5602476682433286
chr11,72003469,72145724,CLPB,NM_001258392,-,ENSG00000162129,2.2364452904895007
chr11,6260321,6265707,CNGA4,NM_001037329,+,ENSG00000132259,0.009950330853168092
chr11,66045695,66051683,CNIH2,NM_182553,+,ENSG00000174871,0.23111172096338664
chr11,58390145,58393205,CNTF,NM_000614,+,ENSG00000242689,0.3148107398400336
chr11,98891705,100180433,CNTN5,NM_001243271,+,ENSG00000149972,3.0076608444192647
chr11,36293841,36310999,COMMD9,NM_014186,-,ENSG00000110442,3.27601201623901
chr11,14479048,14521441,COPB1,NM_001144061,-,ENSG00000129083,3.4995332823830174
chr11,67205517,67211292,CORO1B,NM_001018070,-,ENSG00000172725,2.6953026282797072
chr11,63742078,63744015,COX8A,NM_004074,+,ENSG00000176340,4.608265390895394
chr11,61170119,61197464,CPSF7,NM_001142565,-,ENSG00000149532,1.9823798288367047
chr11,68522350,68609399,CPT1A,NM_001876,-,ENSG00000110090,1.589235205116581
chr11,46299227,46342972,CREB3L1,NM_052854,+,ENSG00000157613,0.7030975114131134
chr11,85368607,85376182,CREBZF,NM_001039618,-,ENSG00000137504,2.7414849771884473
chr11,122709254,122743347,CRTAM,NM_019604,+,ENSG00000109943,0.009950330853168092
chr11,45868668,45904796,CRY2,NM_001127457,+,ENSG00000121671,1.7387102481382397
chr11,111779349,111782473,CRYAB,NM_001885,-,ENSG00000109846,0.8241754429663495
chr11,19203576,19232118,CSRP3,NM_003476,-,ENSG00000129170,0.27763173659827955
chr11,65779461,65780976,CST6,NM_001323,+,ENSG00000175315,0.0
chr11,33162976,33183037,CSTF3,NM_001033506,-,ENSG00000176102,1.7509374747078
chr11,57529233,57586652,CTNND1,NM_001085466,+,ENSG00000198561,3.0007198150650303
chr11,10772810,10801290,CTR9,NM_014633,+,ENSG00000198730,2.2202898502672155
chr11,88053980,88070941,CTSC,NM_148170,-,ENSG00000109861,3.043569602968151
chr11,1773981,1785222,CTSD,NM_001909,-,ENSG00000117984,3.49559805708364
chr11,66330934,66336047,CTSF,NM_003793,-,ENSG00000174080,3.1467351470905185
chr11,65647283,65651212,CTSW,NM_001335,+,ENSG00000172543,0.13976194237515863
chr11,70244611,70282690,CTTN,NM_138565,+,ENSG00000085733,3.762594491936217
chr11,107879407,107978488,CUL5,NM_003478,+,ENSG00000166266,2.149433913499871
chr11,94695786,94706776,CWC15,NM_016403,-,ENSG00000150316,3.224857896545748
chr11,107197071,107328572,CWF19L2,NM_152434,-,ENSG00000152404,1.6174060820832772
chr11,118754474,118766980,CXCR5,NM_001716,+,ENSG00000160683,0.0769610411361284
chr11,7686325,7694821,CYB5R2,NM_016229,-,ENSG00000166394,1.6956156086751528
chr11,61116219,61129755,CYBASC3,NM_001161454,-,N/A,-inf
chr11,14899555,14913751,CYP2R1,NM_024514,-,ENSG00000186104,1.8578592709325787
chr11,61447904,61514474,DAGLA,NM_006133,+,ENSG00000134780,0.0769610411361284
chr11,61100653,61116231,DAK,NM_015533,+,ENSG00000149476,2.554121718809473
chr11,20177759,20181870,DBX1,NM_001029865,-,ENSG00000109851,0.0
chr11,31284170,31391357,DCDC1,NM_181807,-,ENSG00000170959,0.06765864847381486
chr11,30885149,31014233,DCDC5,NM_020869,-,N/A,-inf
chr11,6642557,6677074,DCHS1,NM_003737,-,ENSG00000166341,0.5596157879354227
chr11,126173646,126215644,DCPS,NM_014026,+,ENSG00000110063,1.252762968495368
chr11,102921412,102962944,DCUN1D5,NM_032299,-,ENSG00000137692,2.2679936482244267
chr11,61066918,61100684,DDB1,NM_001923,-,ENSG00000167986,4.501142115564043
chr11,47236492,47260769,DDB2,NM_000107,+,ENSG00000134574,2.2710944259026746
chr11,103907307,103909922,DDI1,NM_001001711,+,ENSG00000170967,0.6523251860396901
chr11,108535815,108811648,DDX10,NM_004398,+,ENSG00000178105,2.050270164379556
chr11,125774260,125793006,DDX25,NM_013264,+,ENSG00000109832,0.8415671856782188
chr11,118618472,118661972,DDX6,NM_004397,-,ENSG00000110367,2.900871992530031
chr11,644224,695740,DEAF1,NM_021008,-,ENSG00000177030,2.4898941912990393
chr11,71544245,71548608,DEFB108B,NM_001002035,+,N/A,-inf
chr11,9160374,9286873,DENND5A,NM_015213,-,ENSG00000184014,2.719978771967484
chr11,33037409,33055128,DEPDC7,NM_001077242,+,ENSG00000121690,0.10436001532424286
chr11,75479777,75512581,DGAT2,NM_032564,+,ENSG00000062282,0.9895411936137477
chr11,46354454,46402104,DGKZ,NM_201532,+,ENSG00000149091,1.7369512327330598
chr11,71145456,71159477,DHCR7,NM_001163817,-,ENSG00000172893,4.728272383122075
chr11,111807926,111893307,DIXDC1,NM_001037954,+,ENSG00000150764,1.9080599249242156
chr11,11984542,12030917,DKK3,NM_013253,-,ENSG00000050165,1.5129270120532565
chr11,111895537,111935002,DLAT,NM_001931,+,ENSG00000150768,2.9090844668283187
chr11,83166055,85338314,DLG2,NM_001142699,-,ENSG00000150672,0.9555114450274363
chr11,73661363,73681332,DNAJB13,NM_153614,+,ENSG00000187726,0.06765864847381486
chr11,31391376,31454382,DNAJC24,NM_181706,+,ENSG00000170946,1.6331544390514163
chr11,63997752,64001753,DNAJC4,NM_005528,+,ENSG00000110011,1.6992786164338898
chr11,6518525,6593254,DNHD1,NM_144666,+,ENSG00000179532,1.1631508098056809
chr11,118967212,118972785,DPAGT1,NM_001382,-,ENSG00000172269,1.9629077254238845
chr11,65101224,65120451,DPF2,NM_006268,+,ENSG00000133884,1.8779371654691073
chr11,66247483,66277130,DPP3,NM_130443,+,ENSG00000254986,2.6297282343267403
chr11,65686727,65689048,DRAP1,NM_006442,+,ENSG00000175550,3.073618812211062
chr11,113280316,113346001,DRD2,NM_000795,-,ENSG00000149295,0.04879016416943205
chr11,637304,640705,DRD4,NM_000797,+,ENSG00000069696,0.058268908123975824
chr11,117298488,117667976,DSCAML1,NM_020693,-,ENSG00000177103,0.01980262729617973
chr11,58939811,58976060,DTX4,NM_015177,+,ENSG00000110042,0.35065687161316933
chr11,1575280,1593150,DUSP8,NM_004420,-,ENSG00000184545,0.03922071315328133
chr11,102980159,103350591,DYNC2H1,NM_001080463,+,ENSG00000187240,1.7298840655099674
chr11,19245609,19263202,E2F8,NM_001256372,-,ENSG00000129173,0.5653138090500605
chr11,85955805,85989785,EED,NM_152991,+,ENSG00000074266,1.5933085305042167
chr11,62327072,62341460,EEF1G,NM_001404,-,ENSG00000254772,5.640984659832161
chr11,827584,831991,EFCAB4A,NM_173584,+,ENSG00000177685,1.252762968495368
chr11,65633911,65640405,EFEMP2,NR_037718,-,ENSG00000172638,1.9600947840472698
chr11,65343508,65360116,EHBP1L1,NM_001099409,+,ENSG00000173442,1.1908875647772805
chr11,64620207,64646191,EHD1,NM_006795,-,ENSG00000110047,2.2289385528257473
chr11,34642587,34684834,EHF,NM_012153,+,ENSG00000135373,0.01980262729617973
chr11,125439297,125454575,EI24,NM_004879,+,ENSG00000149547,2.281361456542419
chr11,65764015,65769637,EIF1AD,NM_001242483,-,ENSG00000175376,2.1150499691472033
chr11,8008866,8017719,EIF3F,NM_003754,+,ENSG00000175390,3.416742592997618
chr11,32605312,32624037,EIF3M,NM_006360,+,ENSG00000149100,4.615912282519994
chr11,10818592,10830582,EIF4G2,NM_001042559,-,ENSG00000110321,4.673389424965236
chr11,34500341,34535347,ELF5,NM_001243080,-,ENSG00000135374,0.0
chr11,107461816,107537505,ELMOD1,NM_018712,+,ENSG00000110675,0.058268908123975824
chr11,31531296,31805329,ELP4,NM_019040,+,ENSG00000109911,1.6563214983329508
chr11,62369690,62380237,EML3,NM_153265,-,ENSG00000149499,1.2237754316221157
chr11,94822973,94865815,ENDOD1,NM_015036,+,ENSG00000149218,2.481567748522486
chr11,706119,727727,EPS8L2,NM_022772,+,ENSG00000177106,0.412109650826833
chr11,124623018,124632223,ESAM,NM_138961,-,ENSG00000149564,0.9001613499442714
chr11,64073043,64084210,ESRRA,NM_004451,+,ENSG00000173153,1.7698546338400052
chr11,128328655,128457453,ETS1,NM_001143820,-,ENSG00000134954,1.3862943611198906
chr11,108376157,108464374,EXPH5,NM_015065,-,ENSG00000110723,0.12221763272424911
